age,months_since_joined,join_month,visits_per_week,payment_delay_days,churned
42,25.9,10,1.4,14,0
29,3.2,12,3.3,12,0
28,13.9,3,3.1,27,0
63,21.5,8,1.3,20,0
28,26.8,5,2.6,30,0
56,26.9,8,2.7,21,1
45,10.9,3,0.8,13,1
32,12.2,10,3.7,30,0
39,6.1,11,0.3,19,0
60,26.4,10,0.2,4,0
42,9.9,10,2.2,11,0
63,17.6,12,1.3,23,1
68,32.4,2,2.2,5,0
33,0.7,8,1.2,2,0
45,30.9,8,3.5,15,0
45,26.8,4,1.8,19,0
46,23.4,9,0.5,28,0
21,15.0,1,1.1,3,0
37,22.7,5,0.6,7,0
48,34.2,1,4.0,1,0
66,3.9,4,3.1,5,0
30,2.9,12,1.0,19,0
52,12.6,10,0.8,15,1
58,4.2,10,2.8,26,0
66,33.1,12,3.1,23,0
27,28.5,8,2.0,4,0
53,6.1,12,3.7,16,0
34,13.8,11,1.7,23,0
41,15.2,7,2.4,15,0
18,34.4,11,0.2,9,0
56,12.2,4,2.2,25,0
19,17.5,5,0.9,4,0
37,19.3,12,0.5,3,0
44,28.3,10,1.4,28,0
53,31.3,8,2.4,7,0
42,24.3,3,3.4,14,0
62,13.4,2,1.3,13,0
24,8.6,12,2.1,21,0
31,14.6,10,2.7,19,0
31,20.9,4,0.0,19,1
38,27.7,2,2.3,19,1
18,34.6,4,2.4,17,0
40,31.5,2,0.5,17,1
38,28.5,3,1.8,5,0
49,32.5,5,1.8,27,0
48,25.2,7,3.0,13,0
32,34.1,11,1.3,10,1
40,18.7,11,1.5,24,1
44,3.7,4,0.2,21,1
62,26.4,7,1.0,8,0
22,34.2,9,2.6,25,0
50,1.6,1,1.3,2,1
22,22.6,6,2.4,8,0
32,11.3,1,1.4,21,1
41,14.8,3,2.4,28,0
60,33.1,7,2.6,23,1
35,12.4,1,1.6,26,0
44,22.7,11,3.5,25,0
48,15.5,10,0.0,18,1
58,33.4,8,0.5,19,1
38,13.6,4,2.2,11,1
48,4.0,9,0.6,9,0
62,15.4,8,1.2,2,0
41,14.9,11,1.0,5,0
67,31.9,11,3.3,21,1
38,12.3,2,1.0,9,1
40,10.9,1,1.8,24,0
19,14.9,6,3.5,0,0
46,25.0,2,1.9,30,1
42,15.5,1,3.5,7,0
39,19.0,5,2.5,20,0
51,25.7,6,3.2,14,0
47,1.5,8,1.6,11,0
68,5.2,11,2.2,25,0
39,26.2,12,0.1,25,1
41,32.7,10,2.7,8,0
61,31.3,12,0.1,25,1
43,25.6,5,3.0,3,0
31,35.4,10,4.0,30,0
45,30.8,9,3.8,9,0
44,25.1,12,2.5,29,1
39,23.2,9,3.1,25,0
46,30.8,1,0.9,16,0
48,31.7,6,1.8,29,0
69,10.2,2,3.0,3,0
21,30.8,2,0.5,2,0
66,21.4,11,1.2,22,0
43,0.5,12,0.7,24,1
38,7.5,4,1.0,2,0
50,28.2,7,0.4,14,0
24,12.6,10,0.8,0,0
57,30.4,3,2.5,14,0
22,21.9,1,3.8,21,0
40,35.5,9,2.2,15,0
28,27.6,3,3.7,10,0
34,3.8,10,1.5,23,1
42,30.2,12,2.8,15,0
18,24.1,2,1.4,28,0
65,8.3,8,2.0,2,0
58,18.8,6,0.6,3,1
68,6.2,8,3.1,13,0
22,13.7,12,1.0,8,0
27,26.9,10,1.9,3,0
43,16.6,8,3.9,21,0
63,24.0,12,1.9,9,0
34,32.4,10,3.6,0,0
33,25.4,11,3.4,26,0
62,3.8,2,2.0,21,0
18,15.1,11,0.5,24,0
68,11.7,4,0.7,14,1
28,17.5,8,1.7,2,0
34,32.3,12,1.7,13,0
35,12.7,12,3.1,8,0
65,26.8,1,3.0,22,0
61,17.1,8,0.3,21,1
35,30.2,11,1.5,11,1
36,8.9,7,0.2,11,1
61,19.1,1,0.9,4,0
32,22.9,7,3.8,12,0
60,13.9,8,1.1,20,1
61,20.5,9,0.4,5,1
52,11.0,1,2.7,24,0
57,35.6,3,0.4,20,0
30,24.9,11,3.7,29,0
47,22.8,6,2.5,10,0
25,33.7,7,2.8,8,0
21,16.1,3,2.2,21,0
40,35.3,7,1.4,21,0
33,3.7,4,0.1,12,1
26,35.6,5,1.1,23,0
45,26.0,6,0.2,22,1
64,21.1,9,3.1,14,0
31,13.2,1,1.7,26,0
27,7.7,9,2.7,29,1
64,35.4,12,3.3,20,0
19,8.9,8,1.2,23,0
49,31.7,2,3.5,25,0
47,2.5,6,0.5,4,0
42,28.9,10,2.1,13,0
40,31.4,3,3.1,17,0
19,9.2,11,3.0,6,0
63,35.2,7,2.6,14,0
21,13.7,3,2.3,9,0
26,6.1,12,0.9,7,0
64,15.4,2,1.0,8,0
37,35.0,4,0.0,4,1
42,4.5,8,1.8,23,0
51,25.1,6,1.1,16,1
47,5.3,5,1.0,27,1
67,24.8,1,2.6,28,0
67,6.0,3,0.6,1,0
31,34.0,2,0.9,23,0
58,32.9,1,3.0,3,0
54,35.4,3,1.6,4,0
31,31.7,10,3.1,1,0
25,14.2,8,0.7,26,1
61,17.0,1,1.5,16,0
57,11.6,4,2.5,6,0
37,18.0,12,2.3,22,0
33,8.9,12,1.2,25,0
54,34.6,10,4.0,7,0
30,15.3,5,1.6,28,1
42,12.4,9,2.6,28,0
30,33.7,8,0.7,14,0
50,12.8,6,0.7,5,0
37,15.5,7,0.1,21,0
53,22.8,6,1.0,22,1
35,26.4,6,0.8,14,0
51,15.6,3,3.2,22,1
50,8.4,5,0.7,13,1
41,22.6,8,1.5,27,0
46,6.5,6,3.7,14,0
27,22.5,3,1.5,2,0
57,23.3,12,0.6,10,0
56,23.2,4,3.6,24,0
33,13.0,2,0.7,11,1
40,14.6,6,3.8,20,0
68,9.9,12,3.8,5,0
24,28.5,8,0.8,8,0
46,25.9,4,1.0,20,1
46,25.0,12,2.7,26,0
54,35.0,10,1.4,30,1
41,32.0,12,0.5,0,0
54,15.7,3,2.0,5,1
23,27.4,6,0.0,17,0
26,23.4,5,1.0,12,1
46,19.6,12,2.5,29,0
25,5.5,9,3.9,8,0
19,18.0,3,0.2,16,1
42,8.2,12,0.4,23,1
55,29.2,4,1.9,21,0
45,26.7,6,3.3,11,0
64,6.9,4,0.7,24,1
32,3.7,8,2.3,0,0
41,4.4,2,1.3,2,0
27,28.3,5,1.9,9,0
31,33.9,12,0.6,25,1
44,10.8,3,3.4,14,0
49,4.4,5,1.7,3,1
52,25.6,12,0.1,4,0
31,19.1,6,2.4,2,0
30,22.0,12,1.0,5,0
39,18.3,8,3.0,27,0
29,29.2,12,0.0,4,0
30,21.3,11,1.7,12,0
68,29.0,12,2.6,26,0
35,23.9,8,1.3,7,0
56,24.8,11,1.5,5,0
34,26.6,10,1.6,12,0
19,21.0,7,2.7,15,0
20,13.3,1,3.7,12,0
70,14.6,4,3.7,11,0
37,1.3,5,0.9,2,0
18,1.8,5,2.2,30,0
38,17.0,9,1.8,1,0
32,29.0,4,0.9,22,0
53,25.6,11,2.7,30,0
66,14.2,4,3.4,14,0
65,17.5,7,2.8,2,0
22,30.3,10,1.0,28,0
18,28.5,3,3.5,6,0
63,22.2,12,2.9,7,0
27,30.6,7,1.6,5,0
25,35.3,7,2.4,1,0
68,22.6,4,2.9,15,0
27,34.9,9,2.9,8,0
63,3.3,3,1.5,20,0
59,28.0,4,0.5,16,0
28,3.9,2,2.6,7,0
65,8.4,11,2.2,29,0
51,12.5,3,2.3,10,0
42,4.6,7,3.3,11,0
43,25.9,9,3.5,12,0
20,12.9,8,2.4,19,0
64,6.5,7,3.0,28,0
34,8.1,11,2.7,16,0
32,1.4,4,2.0,25,0
18,34.6,4,2.3,21,0
31,34.3,7,2.2,7,0
36,9.5,3,2.0,14,0
20,25.3,10,1.5,21,0
52,2.1,7,2.8,8,0
25,12.9,10,0.3,20,1
32,24.5,10,1.8,16,1
43,8.6,8,2.2,8,0
52,12.5,11,3.4,12,0
27,5.2,4,1.6,11,0
67,5.9,1,1.8,1,0
45,0.7,4,2.0,16,1
42,12.5,10,3.5,29,0
57,15.6,11,2.8,18,0
28,15.5,4,2.0,30,0
32,10.6,8,1.1,25,0
66,19.4,2,3.9,5,0
55,1.4,8,1.5,15,0
68,14.9,4,1.4,28,1
51,22.3,6,1.4,11,0
25,27.6,2,0.7,25,0
58,35.7,3,2.0,21,1
65,16.1,5,0.6,24,0
24,33.9,3,1.1,12,0
33,33.0,6,3.0,21,0
59,5.4,11,0.6,19,1
24,18.3,12,0.2,20,0
69,8.5,12,3.6,5,0
24,28.7,11,0.7,18,1
19,26.6,9,0.4,15,1
58,35.1,10,2.3,6,0
18,2.6,1,2.0,30,1
22,15.9,2,1.1,30,1
53,13.4,5,0.3,20,0
58,23.8,6,3.2,27,1
64,19.3,4,2.6,4,0
30,20.7,4,0.6,0,0
61,5.5,5,1.2,27,1
40,33.9,12,3.3,30,1
59,12.0,5,3.6,12,0
25,14.5,11,2.1,17,0
56,8.6,2,0.8,11,1
52,11.3,11,0.1,23,1
39,13.9,8,0.5,7,1
42,9.8,11,3.4,26,0
27,16.6,4,3.0,9,0
38,30.1,9,1.0,8,0
50,30.5,9,2.0,1,0
60,22.2,9,0.6,3,0
49,20.1,8,0.4,9,0
42,21.9,7,0.1,16,1
56,18.4,11,2.0,7,0
54,3.0,7,2.8,17,0
68,4.1,9,0.2,4,1
59,17.5,6,1.6,8,1
21,3.1,2,2.3,11,0
50,5.1,7,1.7,14,0
55,22.7,11,0.2,5,1
68,34.1,2,1.4,3,0
58,1.7,11,2.4,5,0
47,21.9,3,0.8,24,1
20,16.6,2,2.6,28,0
29,1.9,3,1.9,29,0
58,28.2,12,2.7,10,0
46,25.5,5,2.1,0,0
54,33.7,11,0.1,4,0
30,24.1,6,4.0,10,0
60,25.9,6,2.7,10,0
22,13.3,6,0.1,12,1
69,21.1,4,1.3,2,0
58,22.5,11,0.8,5,0
54,4.6,8,2.1,26,0
32,7.6,2,2.1,30,0
60,8.9,12,1.4,20,0
34,22.2,6,2.8,7,0
62,19.8,1,3.4,8,1
70,12.0,4,1.1,23,1
63,28.5,12,0.4,28,1
39,25.1,12,4.0,11,0
65,5.4,4,3.4,28,0
41,28.5,7,1.2,21,0
61,11.5,7,2.4,12,0
66,17.0,8,0.3,2,0
38,7.0,8,3.8,17,0
59,14.8,12,1.2,9,1
70,8.7,4,1.1,7,0
63,26.5,9,0.9,20,1
28,21.4,3,0.9,19,0
42,31.8,7,3.6,5,0
41,6.1,8,1.0,8,0
29,20.9,5,1.7,12,0
29,17.3,6,2.0,27,0
21,17.4,10,3.1,30,0
54,27.3,8,3.9,12,0
22,15.2,5,3.6,18,0
24,25.2,4,2.1,27,0
25,10.4,10,2.8,3,0
45,5.0,5,1.0,11,0
32,28.6,3,2.2,1,0
42,19.2,2,0.8,16,0
59,9.3,1,0.5,10,1
37,16.5,5,0.3,19,1
30,23.0,4,3.2,29,0
22,9.3,12,1.2,27,0
40,6.9,9,3.7,29,0
61,35.7,9,2.8,13,0
42,7.0,12,2.4,7,0
32,12.4,1,1.4,16,0
34,14.6,3,1.6,15,0
18,31.1,7,3.3,19,0
27,10.4,10,2.2,23,0
23,8.4,4,2.7,30,0
32,5.0,8,2.1,28,1
67,27.5,6,3.7,9,0
63,20.6,6,1.9,6,0
58,3.8,12,3.1,21,0
70,16.7,11,2.7,14,0
34,35.6,8,3.0,25,0
37,33.3,7,1.6,15,0
20,20.5,7,1.4,21,0
42,8.8,7,1.6,29,1
45,21.4,3,0.2,9,1
35,18.7,1,0.3,11,0
53,34.9,4,3.5,8,0
37,1.0,8,2.9,9,0
41,11.6,6,3.5,21,0
54,14.8,10,1.9,13,1
54,26.4,6,1.4,23,1
56,27.1,8,0.8,6,0
54,26.6,7,0.0,8,0
34,20.7,10,0.0,12,0
30,20.1,9,3.3,30,0
25,10.8,8,0.1,23,0
35,31.3,9,0.5,23,0
55,15.7,9,3.9,12,0
62,13.2,1,0.4,0,1
41,28.7,4,0.5,2,0
22,26.2,11,3.5,3,0
66,11.8,2,3.4,4,0
61,1.3,3,2.5,14,0
39,0.8,7,2.1,17,1
50,30.7,12,0.1,23,0
19,5.9,9,0.2,10,1
39,21.9,3,0.5,12,1
56,21.5,7,3.4,18,0
57,8.5,9,2.2,22,1
70,16.3,3,3.0,4,0
44,15.4,9,2.5,9,1
42,18.3,10,0.9,10,0
46,30.9,5,2.4,22,0
68,33.0,3,0.3,29,1
24,3.6,4,1.1,25,1
26,15.7,5,2.9,1,0
60,11.0,1,1.3,9,1
29,28.5,11,1.6,24,0
51,12.8,7,1.3,10,0
36,17.7,3,2.8,26,0
57,25.6,12,4.0,30,0
39,23.1,4,3.3,16,0
26,26.9,12,0.1,8,0
65,15.8,12,1.4,24,1
18,19.7,11,2.7,5,0
69,10.2,6,1.9,20,0
20,28.1,12,0.4,7,0
45,31.3,4,3.7,4,0
66,11.2,10,0.5,12,1
54,18.2,1,2.4,16,0
29,4.2,11,3.8,15,0
51,4.5,7,0.9,4,0
29,5.6,7,0.6,10,1
63,22.9,11,0.9,1,0
21,28.4,2,3.2,15,0
23,5.1,4,3.1,7,0
55,35.9,11,3.8,26,0
47,13.1,8,3.9,18,0
57,32.2,3,1.0,12,1
60,36.0,1,1.0,10,0
22,30.4,1,3.4,27,0
59,14.0,1,1.0,6,1
37,1.4,1,3.3,23,0
58,18.5,7,2.3,11,0
28,17.8,12,2.1,28,0
70,0.6,2,3.4,5,0
43,31.3,3,2.3,26,0
19,5.7,12,3.1,4,0
56,22.8,2,3.4,11,0
23,9.8,8,1.0,11,0
49,15.2,10,3.7,4,0
26,17.2,6,1.6,0,0
29,21.4,10,1.6,3,0
48,18.9,6,3.6,21,0
48,13.4,7,1.6,2,0
40,1.9,2,1.0,18,0
33,5.0,5,2.7,26,0
21,22.7,9,3.2,20,0
35,22.0,5,0.5,6,1
32,24.2,12,0.1,23,1
70,3.4,12,1.4,19,0
38,9.4,7,2.5,7,0
46,8.8,9,1.0,2,0
44,29.4,7,0.5,25,1
67,27.5,9,0.2,8,1
58,27.2,3,3.7,10,0
47,35.0,9,0.7,4,1
43,33.0,3,0.6,10,0
65,23.4,6,1.3,17,0
61,18.6,1,2.5,24,0
54,29.5,1,3.8,22,0
46,20.0,9,3.9,21,0
23,27.8,6,3.0,13,0
36,6.9,10,2.6,23,1
55,18.7,9,1.7,9,0
60,17.7,8,2.6,19,0
53,17.7,3,0.6,15,1
27,18.9,2,0.6,11,0
29,22.3,2,1.8,1,0
65,22.0,2,0.8,16,1
36,34.3,4,0.6,14,0
53,8.3,5,2.5,15,0
28,5.6,8,1.2,16,0
68,26.4,9,1.9,5,0
32,9.1,7,2.0,23,0
29,10.5,10,0.7,23,1
32,6.9,9,0.0,17,0
30,17.5,8,0.9,21,0
23,15.0,2,1.9,5,0
42,35.1,2,1.5,11,0
48,24.5,7,2.6,24,0
25,21.3,5,2.9,28,0
42,21.0,3,3.6,3,0
20,10.6,2,1.0,12,0
47,32.0,5,3.4,28,0
36,4.6,5,1.8,4,0
53,26.6,2,0.7,15,0
57,4.9,11,2.3,30,1
26,18.2,9,2.4,21,0
65,8.2,10,0.4,23,1
59,20.2,12,1.3,27,1
30,7.5,8,1.6,17,1
41,18.4,4,1.2,20,0
68,1.6,3,2.8,18,0
64,9.3,1,0.6,23,1
22,26.6,2,1.9,9,0
65,18.9,3,0.0,16,1
22,18.1,11,1.2,18,0
35,23.1,6,3.9,3,0
55,19.1,7,0.4,27,0
61,9.8,11,3.1,7,0
21,32.1,1,1.9,7,0
68,11.6,1,1.0,23,1
69,1.1,11,2.6,5,1
38,7.2,4,3.1,27,0
32,15.0,7,0.6,24,1
23,0.8,8,3.4,18,0
24,19.9,12,1.0,21,1
21,34.3,2,3.1,20,0
58,20.4,1,0.2,6,1
40,7.9,2,1.1,9,0
40,2.8,3,2.2,20,0
31,19.7,10,3.5,9,0
65,24.8,4,3.1,22,0
45,23.3,11,1.7,5,0
44,20.6,2,2.9,8,0
38,13.6,1,2.2,18,1
18,14.3,3,0.4,9,1
26,31.1,8,0.3,10,0
26,2.2,7,1.2,4,0
40,11.1,2,1.5,18,0
23,10.7,4,3.4,17,0
65,35.3,10,2.7,11,0
27,18.3,6,2.9,20,0
48,6.9,6,3.9,0,0
32,30.6,2,0.2,17,0
22,13.8,9,0.2,18,1
21,14.2,12,0.2,8,0
43,12.5,1,2.9,12,0
64,5.8,7,3.8,15,0
56,16.4,3,0.1,23,1
53,20.0,4,1.6,10,1
51,16.6,2,3.7,24,0
41,14.0,7,0.9,10,0
54,8.7,4,1.9,8,0
65,31.0,9,1.8,13,0
46,31.1,4,2.7,4,0
50,20.5,6,3.1,12,0
28,25.7,2,3.3,7,0
54,32.8,7,2.8,10,0
23,6.2,11,0.6,23,0
55,5.0,7,0.0,12,1
70,7.5,5,4.0,24,0
41,21.5,8,3.3,2,0
45,3.1,7,3.0,4,0
33,26.6,4,3.3,6,0
57,2.3,5,1.8,10,0
64,1.4,10,1.2,30,1
26,34.8,2,3.4,29,0
37,13.0,6,2.2,19,0
37,20.4,12,3.8,23,0
41,17.6,11,0.8,14,1
